City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,ust-nera,64.5667,143.2,-14.91,100,96,2.12,RU,1698710630
232,fort st. john,56.2499,-120.8529,4.94,45,75,4.12,CA,1698710348
233,ciudad lazaro cardenas,17.9583,-102.2,27.41,84,11,2.64,MX,1698710522
234,sabha,27.0377,14.4283,21.92,28,3,4.26,LY,1698710486
235,hawera,-39.5917,174.2833,18.05,70,81,3.88,NZ,1698710631
236,korla,41.7597,86.1469,11.61,42,10,2.97,CN,1698710434
237,maxixe,-23.8597,35.3472,19.69,71,100,5.09,MZ,1698710632
238,taltal,-25.4,-70.4833,18.95,68,22,1.04,CL,1698710421
239,luderitz,-26.6481,15.1594,16.46,51,1,5.99,NA,1698710632
240,castillos,-34.1667,-53.8333,12.78,94,100,7.2,UY,1698710632
241,porto novo,6.4965,2.6036,23.9,84,100,1.34,BJ,1698710632
242,luebo,-5.35,21.4167,21.31,99,100,0.88,CD,1698710633
243,oyama,36.3,139.8,18.1,63,98,0.88,JP,1698710633
244,kone,-21.0595,164.8658,26.05,48,89,2.08,NC,1698710633
245,oued zem,32.8627,-6.5736,18.33,69,87,0.74,MA,1698710426
246,quila,24.4228,-107.22,29.92,68,0,2.54,MX,1698710634
247,kruisfontein,-34.0033,24.7314,10.85,91,0,3.08,ZA,1698710634
248,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1698710634
249,tabou,4.423,-7.3528,25.73,88,76,1.67,CI,1698710634
250,atafu village,-8.5421,-172.5159,28.81,75,39,6.42,TK,1698710634
251,naze,28.3667,129.4833,21.51,67,51,5.08,JP,1698710635
252,sinabang,2.4803,96.3801,25.45,85,100,1.23,ID,1698710635
253,kokstad,-30.5472,29.4241,5.47,91,100,0.84,ZA,1698710635
254,berber,18.0216,33.983,27.52,39,99,3.67,SD,1698710635
255,kununurra,-15.7667,128.7333,29.99,66,69,3.6,AU,1698710635
256,shihezi,44.3,86.0333,12.31,49,84,1.65,CN,1698710636
257,kaiyuan,23.6977,103.3037,15.68,89,98,0.76,CN,1698710636
258,suntar,62.1444,117.6319,-10.67,96,100,1.5,RU,1698710636
259,gimbi,9.1667,35.8333,12.52,95,95,0.99,ET,1698710637
260,ad-damazin,11.7891,34.3592,24.1,76,91,2.11,SD,1698710637
261,matiri,-10.75,34.9,18.38,78,96,2.56,TZ,1698710637
262,haiku-pauwela,20.9219,-156.3051,27.8,79,23,2.73,US,1698710514
263,labrador city,52.9463,-66.9114,-6.05,63,75,2.06,CA,1698710425
264,maumere,-8.6199,122.2111,28.84,67,21,0.51,ID,1698710641
265,klyuchi,52.2667,79.1667,5.61,97,100,2.5,RU,1698710466
266,kodiak,57.79,-152.4072,7.22,97,100,4.25,US,1698710467
267,carutapera,-1.195,-46.02,26.49,79,32,3.66,BR,1698710641
